,score,algorithm,file,runtime,params_dict,size,nr_entries,nr_entries_original,nr_particles,nr_timesteps,nr_clusters,nr_entries_binned,nr_entries_original_binned
40,0.2812517960111536,"Spectral, delta",calovi_100_29.csv,0.009232759475708008,{'cluster_count': 2},3000,2800,2800,28,100,2,800,800
41,0.5170299382018132,"HDBSCAN, delta",calovi_100_29.csv,0.008463382720947266,{},3000,2800,2800,28,100,2,800,800
42,0.4891294038224522,"Affinity, delta",calovi_100_29.csv,0.009078264236450195,{},3000,2800,2800,28,100,2,800,800
43,0.17778288199614917,"Spectral, delta",calovi_100_29.csv,0.009513139724731445,{'cluster_count': 2},3000,2800,2800,28,100,2,800,800
44,0.5170299382018132,"HDBSCAN, delta",calovi_100_29.csv,0.00725865364074707,{},3000,2800,2800,28,100,2,800,800
45,0.4891294038224522,"Affinity, delta",calovi_100_29.csv,0.007860660552978516,{},3000,2800,2800,28,100,2,800,800
46,0.2812517960111536,"Spectral, delta+1std",calovi_100_29.csv,0.013605117797851562,{'cluster_count': 2},3000,2800,2800,28,100,2,800,800
47,0.40373154999785593,"HDBSCAN, delta+1std",calovi_100_29.csv,0.012281417846679688,{},3000,2800,2800,28,100,2,800,800
48,0.37890740082209445,"Affinity, delta+1std",calovi_100_29.csv,0.013571739196777344,{},3000,2800,2800,28,100,2,800,800
49,0.2812517960111536,"Spectral, delta",calovi_100_29.csv,0.00835728645324707,{'cluster_count': 2},3000,2800,2800,28,100,2,800,800
50,0.5170299382018132,"HDBSCAN, delta",calovi_100_29.csv,0.007013797760009766,{},3000,2800,2800,28,100,2,800,800
51,0.4891294038224522,"Affinity, delta",calovi_100_29.csv,0.007601022720336914,{},3000,2800,2800,28,100,2,800,800
52,0.2812517960111536,"Spectral, delta+2std",calovi_100_29.csv,0.012969732284545898,{'cluster_count': 2},3000,2800,2800,28,100,2,800,800
53,0.40373154999785593,"HDBSCAN, delta+2std",calovi_100_29.csv,0.011404991149902344,{},3000,2800,2800,28,100,2,800,800
54,0.398377858008446,"Affinity, delta+2std",calovi_100_29.csv,0.011976480484008789,{},3000,2800,2800,28,100,2,800,800
55,1.0,"Spectral, stddv",calovi_100_29.csv,0.00899195671081543,{'cluster_count': 2},3000,2800,2800,28,100,2,800,800
56,0.6763912202511136,"HDBSCAN, stddv",calovi_100_29.csv,0.007901191711425781,{},3000,2800,2800,28,100,2,800,800
57,0.6763912202511136,"Affinity, stddv",calovi_100_29.csv,0.007600069046020508,{},3000,2800,2800,28,100,2,800,800
58,1.0,"ST_HDBSCAN, opt.",calovi_100_29.csv,0.4545152187347412,"{'n_clusters': 2, 'threshold': 0.3, 'eps2': 5}",3000,2800,2800,28,100,2,800,800
59,0.0003680910216070386,"ST_Spectral, opt.",calovi_100_29.csv,1.428769826889038,"{'n_clusters': 2, 'eps2': 5}",3000,2800,2800,28,100,2,800,800
60,1.0,"Spectral, delta",reynolds_100_90.csv,0.010495185852050781,{'cluster_count': 2},3000,700,900,7,100,2,0,800
61,0.10321664187950289,"HDBSCAN, delta",reynolds_100_90.csv,0.008291959762573242,{},3000,700,900,7,100,2,0,800
62,0.5996981555748222,"Affinity, delta",reynolds_100_90.csv,0.010161638259887695,{},3000,700,900,7,100,2,0,800
63,1.0,"Spectral, delta",reynolds_100_90.csv,0.00744175910949707,{'cluster_count': 2},3000,700,900,7,100,2,0,800
64,0.10321664187950289,"HDBSCAN, delta",reynolds_100_90.csv,0.0062961578369140625,{},3000,700,900,7,100,2,0,800
65,0.5996981555748222,"Affinity, delta",reynolds_100_90.csv,0.006957292556762695,{},3000,700,900,7,100,2,0,800
66,1.0,"Spectral, delta+1std",reynolds_100_90.csv,0.012736797332763672,{'cluster_count': 2},3000,700,900,7,100,2,0,800
67,0.25028932388838027,"HDBSCAN, delta+1std",reynolds_100_90.csv,0.011316776275634766,{},3000,700,900,7,100,2,0,800
68,0.5996981555748222,"Affinity, delta+1std",reynolds_100_90.csv,0.011764049530029297,{},3000,700,900,7,100,2,0,800
69,1.0,"Spectral, delta",reynolds_100_90.csv,0.006155252456665039,{'cluster_count': 2},3000,700,900,7,100,2,0,800
70,0.10321664187950289,"HDBSCAN, delta",reynolds_100_90.csv,0.005232810974121094,{},3000,700,900,7,100,2,0,800
71,0.5996981555748222,"Affinity, delta",reynolds_100_90.csv,0.005844831466674805,{},3000,700,900,7,100,2,0,800
72,1.0,"Spectral, delta+2std",reynolds_100_90.csv,0.010277509689331055,{'cluster_count': 2},3000,700,900,7,100,2,0,800
73,0.16134996002101407,"HDBSCAN, delta+2std",reynolds_100_90.csv,0.009509801864624023,{},3000,700,900,7,100,2,0,800
74,0.5790741252892542,"Affinity, delta+2std",reynolds_100_90.csv,0.010361909866333008,{},3000,700,900,7,100,2,0,800
75,1.0,"Spectral, stddv",reynolds_100_90.csv,0.009990692138671875,{'cluster_count': 2},3000,700,900,7,100,2,0,800
